EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
32865,1703068,REGULAR,LUHR ELEMENTARY SCHOOL,,6900 FEGENBUSH LN,,LOUISVILLE,KY,40228,SCHOOL CAFETERIA OR FOOD SERVICE,2022-09-20,100,A,LUHR ELEMENTARY SCHOOL,,467
32776,1704211,REGULAR,KENNEDY SCHOOL,,3800 GIBSON LN,,LOUISVILLE,KY,40211,SCHOOL CAFETERIA OR FOOD SERVICE,2022-09-27,100,A,KENNEDY SCHOOL,,518
32793,1714024,REGULAR,LOWE ELEMENTARY SCHOOL,,210 OXFORDSHIRE LN,,LOUISVILLE,KY,40222,SCHOOL CAFETERIA OR FOOD SERVICE,2022-11-01,100,A,LOWE ELEMENTARY SCHOOL,,539
32776,1740737,REGULAR,KENNEDY SCHOOL,,3800 GIBSON LN,,LOUISVILLE,KY,40211,SCHOOL CAFETERIA OR FOOD SERVICE,2023-03-10,100,A,KENNEDY SCHOOL,,519
32779,1701883,REGULAR,KENWOOD ELEMENTARY SCHOOL,,7420 JUSTAN AVE,,LOUISVILLE,KY,40214,SCHOOL CAFETERIA OR FOOD SERVICE,2022-09-15,100,A,KENWOOD ELEMENTARY SCHOOL,,520
116820,1710903,OTHER,MIAS INTERNATIONAL PLUS,,7317 ST ANDREWS CHURCH RD,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2022-09-22,100,,MIAS INTERNATIONAL PLUS,,10486
117230,1724467,OTHER,QUALITY INN & SUITES,,311 E GAULBERT AVE,,LOUISVILLE,KY,40208,FOOD SERVICE,2022-11-18,100,,QUALITY INN & SUITES,,10487
116975,1748411,REGULAR,THE BREEZE WINE BAR & SPIRITS LLC,,1247 S SHELBY ST,,LOUISVILLE,KY,40203,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023-04-14,100,A,THE BREEZE WINE BAR & SPIRITS LLC,,10488
32793,1750308,REGULAR,LOWE ELEMENTARY SCHOOL,,210 OXFORDSHIRE LN,,LOUISVILLE,KY,40222,SCHOOL CAFETERIA OR FOOD SERVICE,2023-04-24,100,A,LOWE ELEMENTARY SCHOOL,,538
32790,1713338,REGULAR,ABRAHAM LINCOLN SCHOOL,,930 E MAIN ST,,LOUISVILLE,KY,40206,SCHOOL CAFETERIA OR FOOD SERVICE,2022-10-31,100,A,ABRAHAM LINCOLN SCHOOL,,537
32790,1747350,REGULAR,ABRAHAM LINCOLN SCHOOL,,930 E MAIN ST,,LOUISVILLE,KY,40206,SCHOOL CAFETERIA OR FOOD SERVICE,2023-04-11,100,A,ABRAHAM LINCOLN SCHOOL,,536
32788,1737057,REGULAR,LAYNE ELEMENTARY SCHOOL,,9831 EAST AVE,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,2023-02-22,100,A,LAYNE ELEMENTARY SCHOOL,,535
32788,1698306,REGULAR,LAYNE ELEMENTARY SCHOOL,,9831 EAST AVE,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,2022-08-31,100,A,LAYNE ELEMENTARY SCHOOL,,534
117443,1730787,REGULAR,SUNERGOS COFFEE,,3922 WILLIS AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2023-01-24,100,A,SUNERGOS COFFEE,,10495
