,Name,Rating,Review Count,Price,Address
225,Lonnie's Best Taste of Chicago,4.5,184,$,"121 Saint Matthews Ave, Louisville, KY 40207"
226,Aspen Creek Grill,4.0,274,$$,"8000 Bardstown Rd, Louisville, KY 40291"
227,Lou Lou Food and Drink,4.0,294,$$,"106 Sears Ave, Louisville, KY 40207"
228,The Seafood Lady,3.5,121,$$,"601 E Jefferson St, Louisville, KY 40202"
229,Joely's Restaurant & Bar,5.0,6,,"1999 Brownsboro Rd, Louisville, KY 40206"
230,Eatz Vietnamese Restaurant,4.5,169,$$,"2244 Frankfort Ave, Louisville, KY 40206"
231,Sharks Seafood,4.0,71,$,"3099 Breckenridge Ln, Louisville, KY 40220"
232,Jeff Ruby's Steakhouse - Louisville,4.5,558,$$$$,"325 W Main St, Louisville, KY 40202"
233,Tres amigos,5.0,21,,"9921 Ormsby Station Rd, Louisville, KY 40223"
234,Hollys Pour House,4.5,18,$,"907 Ulrich Ave, Louisville, KY 40219"
235,Elk Run Grill,4.5,2,,"1820 Charlestown Pike, Jeffersonville, IN 47130"
236,Pat's Steak House,3.0,168,$$$,"2437 Brownsboro Rd, Louisville, KY 40206"
237,Derby City Pizza Co.,4.0,129,$,"2500 Crittenden Dr, Louisville, KY 40217"
238,Pier 17 Cajun Seafood Restaurant & Bar,3.5,107,,"1975 S Hurstbourne Pkwy, Louisville, KY 40220"
239,Joella's Hot Chicken - St Matthews,4.0,579,$$,"3400 Frankfort Ave, Louisville, KY 40207"
240,Metro Diner,4.0,377,$$,"4901 Outer Lp, Ste 100, Louisville, KY 40219"
241,Malone's - Louisville,4.0,231,$$$,"4370 Summit Plaza Dr, Louisville, KY 40241"
242,Uptown Cafe,4.0,129,$$,"1624 Bardstown Rd, Louisville, KY 40205"
243,Al Sultan Mediterranean Grill,4.0,41,,"8129 Bardstown Rd, Louisville, KY 40291"
244,ROC Restaurant,4.0,221,$$,"1327 Bardstown Rd, Louisville, KY 40204"
245,Eat A Pita,4.0,226,$$,"2286 Bardstown Rd, Louisville, KY 40205"
246,Come Back Inn,4.0,258,$$,"909 Swan St, Louisville, KY 40204"
247,Waldo's Chicken and Beer,4.0,65,$$,"10700 Meeting St, Prospect, KY 40059"
248,Sarap Filipino Eatery,3.5,18,,"712 Brent St, Louisville, KY 40204"
249,Togo India,0.0,0,,"4109 Bardstown Rd, Ste 103, Louisville, KY 40218"
250,Cuban Restaurant And Bakery,5.0,10,,"5614 Preston Hwy, Louisville, KY 40219"
251,The B.A. Colonial,4.0,57,$$,"818 W Kenwood Dr, Louisville, KY 40214"
252,Haitian Exotica,0.0,0,,"615 Baxter Ave, Louisville, KY 40204"
253,Dasha Barbour's,3.5,82,$$,"217 E Main St, Louisville, KY 40202"
254,Falls City Market,4.5,70,$$,"400 S 2nd St, Louisville, KY 40202"
255,Wild Eggs,4.5,651,$$,"3985 Dutchmans Ln, Louisville, KY 40207"
256,Chamling Kitchen & Bar,3.5,24,$$,"2249 Hikes Ln, Louisville, KY 40218"
257,City Barbeque,3.5,21,$$,"4027 Poplar Level Rd, Louisville, KY 40213"
258,Kum's Cafe & Arirang,4.5,98,$$,"4544 Poplar Level Rd, Louisville, KY 40213"
259,Taco Luchador,4.5,909,$$,"938 Baxter Ave, Louisville, KY 40204"
260,Brick House Tavern + Tap,3.5,501,$$,"871 S Hurstbourne Pkwy, Louisville, KY 40222"
261,Mi Casita on 4th,4.0,238,$$,"520 S 4th St, Ste 100, Louisville, KY 40202"
262,Torino's Sandwich Bar,4.0,39,$$,"821 E Market St, Ste 101, Louisville, KY 40206"
263,JP's Outdoor Kitchen,0.0,0,,"Louisville, KY 40220"
264,Limón y Sal,4.5,226,$$,"10000 Brownsboro Rd, Louisville, KY 40241"
265,Blue Horse,3.0,122,$$,"830 Phillips Ln, Louisville, KY 40209"
266,Zombie Taco,3.5,106,,"100 W Washington St, Unit 101, Louisville, KY 40202"
267,El Mundo,4.0,380,$$,"2345 Frankfort Ave, Louisville, KY 40206"
268,Daryk's,4.5,2,,"1154 Logan St, Louisville, KY 40204"
269,Haymarket Bistro,4.0,11,$,"300 E Market St, Ste 100A, Louisville, KY 40202"
270,Sankalp Louisville,4.5,10,,"9008 Taylorsville Rd, Louisville, KY 40299"
271,Condado Tacos,4.0,52,$$,"7900 Shelbyville Rd, Ste G20, Louisville, KY 40222"
272,Pizza Af,4.5,2,,"1008 Goss Ave, Louisville, KY 40202"
273,Taco City Louisville,4.0,198,$,"1283 Bardstown Rd, Louisville, KY 40204"
274,Highland Morning,4.0,504,$$,"1416 Bardstown Rd, Louisville, KY 40204"
275,Classico Takeout & Empanadas,5.0,18,,"104 S Preston St, Louisville, KY 40202"
276,The Yellow Cactus,3.5,15,,"2350 Frankfort Ave, Louisville, KY 40206"
277,Afrokanza Lounge,1.0,2,,"1578 Bardstown Rd, Louisville, KY 40205"
278,Jerusalem Kitchen,4.5,109,$$,"4413 Saint Rita Dr, Louisville, KY 40219"
279,MaShallah African Restaurant,4.5,30,$$,"4109 Bardstown Rd, Ste 104, Louisville, KY 40218"
280,August Moon Chinese Bistro,3.5,144,$$,"2269 Lexington Rd, Louisville, KY 40206"
281,Bellissimo,4.5,9,,"Louisville, KY 40218"
282,Safier Mediterranean Deli,4.5,406,$$,"641 S 4th St, Louisville, KY 40202"
283,Sam's Seafood & Grill,4.0,9,,"4918 Poplar Level Rd, Louisville, KY 40219"
284,Bae's Baekery,5.0,41,,"1804 Frankfort Ave, Louisville, KY 40206"
285,Bob's Steak & Chop House,4.0,117,$$$,"400 S 2nd St, Louisville, KY 40202"
286,Island Breeze,5.0,8,,"1991 Brownsboro Rd, Louisville, KY 40206"
287,The Palm Room,5.0,6,$,"1821 W Jefferson St, Louisville, KY 40203"
288,Wiltshire Pantry Bakery and Café - Downtown,4.5,19,,"605 W Main St, Louisville, KY 40202"
289,Wacky Willy's,3.5,4,$,"4220 Bardstown Rd, Louisville, KY 40218"
290,Full Stop,4.5,89,,"1132 E St Catherine St, Louisville, KY 40204"
291,River City Drafthouse,4.0,144,$,"1574 Bardstown Rd, Louisville, KY 40205"
292,Panchitos Ice Cream,4.5,174,$,"2245 Bardstown Rd, Louisville, KY 40205"
293,Volare Italian Ristorante,4.5,402,$$$,"2300 Frankfort Ave, Louisville, KY 40206"
294,Jasmin Bakery European Bread,4.5,84,$,"2205 Steier Ln, Louisville, KY 40218"
295,Lemongrass Cafe and Market,3.5,89,$,"2956 Richland Ave, Louisville, KY 40220"
296,Fire Oven Pizza,4.5,57,$,"2801 Packerland Way, Ste 3, Louisville, KY 40213"
297,Tim Tam,4.5,40,$,"1022 Clarks Ln, Louisville, KY 40217"
298,Mr Hot Dog,4.5,3,,"6714 Outer Loop, Louisville, KY 40228"
299,Bandido Taqueria Mexicana,4.5,9,,"4214 Shelbyville Rd, Louisville, KY 40207"
300,Drake's Hurstbourne,3.5,76,$$,"2651 S Hurstbourne Pkwy, Louisville, KY 40220"
301,Book and Bourbon Southern Kitchen,3.5,83,$$,"600 Terminal Dr, Louisville, KY 40209"
302,Taco City - Hikes Point,4.5,34,,"3085 Breckenridge Ln, Louisville, KY 40220"
303,Pho Cafe,4.0,205,$$,"1704 Bardstown Rd, Louisville, KY 40205"
304,I Love Tacos,4.0,87,$$,"1534 Bardstown Rd, Louisville, KY 40205"
305,Victoria Mexican Restaurant,4.5,101,$$,"2918 Hikes Ln, Louisville, KY 40218"
306,Kingsley Meats & Catering,4.0,49,$$,"2701 Taylorsville Rd, Louisville, KY 40205"
307,Seviche A Latin Restaurant,4.5,342,$$$,"1538 Bardstown Rd, Louisville, KY 40205"
308,Cheddar Box Too,4.0,106,$$,"109 Chenoweth Ln, Louisville, KY 40207"
309,Losers 812,4.0,9,,"1005 W Market St, Jeffersonville, IN 47130"
310,Recbar,4.0,421,$$,"10301 Taylorsville Rd, Louisville, KY 40299"
311,Selena's at Willow Lake Tavern,4.0,486,$$,"10609 Lagrange Rd, Louisville, KY 40223"
312,Morris' Deli Liquor & Catering,4.5,113,$,"2228 Taylorsville Rd, Louisville, KY 40205"
313,Matt Winn's Steakhouse,4.5,50,$$$$,"750 Central Ave, Louisville, KY 40208"
314,Bahn Thai and M,4.0,12,,"2226 Holiday Manor Ctr, Ste 8, Louisville, KY 40222"
315,Gaslight Diner,4.0,41,$,"10509 Watterson Trl, Louisville, KY 40299"
316,Shady Lane Cafe,4.5,139,$,"4806 Brownsboro Rd, Louisville, KY 40207"
317,Kabuki Hibachi & Ramen,4.0,16,$$,"253 Spring St, Jeffersonville, IN 47130"
318,The Pine Room,4.0,118,,"6325 River Rd, Prospect, KY 40059"
319,Shirley Mae's Café,4.5,176,$,"802 S Clay St, Louisville, KY 40203"
320,Glow Worm Cafe & Play,5.0,13,,"962 Barret Ave, Louisville, KY 40204"
